                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.025,                0.68145,                      1,                0.94733,             0.00023526,             0.00023526,             0.00023526
                      2,                0.77068,                0.66129,                      1,                0.89679,             0.00047092,             0.00047092,             0.00047092
                      3,                 0.7184,                0.71774,                      1,                0.86084,             0.00070422,             0.00070422,             0.00070422
                      4,                0.65279,                0.70565,                      1,                0.88239,              0.0007034,              0.0007034,              0.0007034
                      5,                0.53459,                0.69355,                      1,                0.86572,              0.0007034,              0.0007034,              0.0007034
                      6,                 0.5464,                 0.7379,                      1,                0.82629,             0.00069986,             0.00069986,             0.00069986
                      7,                 0.4721,                0.67339,                      1,                0.87952,             0.00069633,             0.00069633,             0.00069633
                      8,                0.44233,                0.67742,                      1,                0.86652,             0.00069279,             0.00069279,             0.00069279
                      9,                0.36546,                0.67742,                      1,                0.87323,             0.00068926,             0.00068926,             0.00068926
                     10,                0.37141,                0.65726,                      1,                0.87537,             0.00068573,             0.00068573,             0.00068573
                     11,                0.32933,                0.72177,                      1,                0.85114,             0.00068219,             0.00068219,             0.00068219
                     12,                 0.2738,                0.67339,                      1,                 0.8689,             0.00067866,             0.00067866,             0.00067866
                     13,                0.30051,                0.68548,                      1,                0.85809,             0.00067512,             0.00067512,             0.00067512
                     14,                0.26261,                0.67339,                      1,                0.88623,             0.00067159,             0.00067159,             0.00067159
                     15,                0.24219,                0.64113,                      1,                0.89368,             0.00066805,             0.00066805,             0.00066805
                     16,                0.23511,                0.67339,                      1,                0.87543,             0.00066452,             0.00066452,             0.00066452
                     17,                0.23653,                0.68145,                      1,                0.88184,             0.00066099,             0.00066099,             0.00066099
                     18,                 0.2248,                0.66935,                      1,                0.86871,             0.00065745,             0.00065745,             0.00065745
                     19,                 0.1867,                0.68145,                      1,                0.86017,             0.00065392,             0.00065392,             0.00065392
                     20,                0.20848,                0.67339,                      1,                0.87762,             0.00065038,             0.00065038,             0.00065038
                     21,                0.18968,                0.65323,                      1,                0.87286,             0.00064685,             0.00064685,             0.00064685
                     22,                0.19137,                0.69758,                      1,                0.85791,             0.00064331,             0.00064331,             0.00064331
                     23,                0.17425,                0.64516,                      1,                0.87177,             0.00063978,             0.00063978,             0.00063978
                     24,                0.17413,                0.68145,                      1,                 0.8457,             0.00063625,             0.00063625,             0.00063625
                     25,                 0.1775,                0.64919,                      1,                0.89362,             0.00063271,             0.00063271,             0.00063271
                     26,                0.17865,                0.64516,                      1,                0.89508,             0.00062918,             0.00062918,             0.00062918
                     27,                0.15379,                0.64113,                      1,                 0.8902,             0.00062564,             0.00062564,             0.00062564
                     28,                0.13426,                0.65726,                      1,                0.88855,             0.00062211,             0.00062211,             0.00062211
                     29,                0.15589,                0.67742,                      1,                0.86554,             0.00061857,             0.00061857,             0.00061857
                     30,                0.12663,                0.66129,                      1,                0.87518,             0.00061504,             0.00061504,             0.00061504
                     31,                0.13647,                0.64516,                      1,                0.88696,             0.00061151,             0.00061151,             0.00061151
                     32,                0.14186,                0.64113,                      1,                0.89716,             0.00060797,             0.00060797,             0.00060797
                     33,                0.11993,                0.70161,                      1,                0.85242,             0.00060444,             0.00060444,             0.00060444
                     34,                0.11725,                0.66532,                      1,                0.87714,              0.0006009,              0.0006009,              0.0006009
